AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	source_name	time_point	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	background_strain	cell_type
102	SAMN07967657	SRX3355831	1864	731	SRR6248851	SRS2654937	GSM2837863	c-Maf flfl CD4Cre	CD4+ T cells (Th2 HDM allergy model)	day 25 of HDM induced allergy	Lung	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
102	SAMN07967659	SRX3355832	1951	765	SRR6248852	SRS2654938	GSM2837864	c-Maf flfl CD4Cre	CD4+ T cells (Th2 HDM allergy model)	day 25 of HDM induced allergy	Lung	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967658	SRX3355833	2092	934	SRR6248853	SRS2654939	GSM2837865	c-Maf flfl	CD4+ T cells (Th1 malaria model)	day 7 post Plasmodim chabaudi chabaudi AS infection	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967660	SRX3355834	2613	1166	SRR6248854	SRS2654940	GSM2837866	c-Maf flfl	CD4+ T cells (Th1 malaria model)	day 7 post Plasmodim chabaudi chabaudi AS infection	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967664	SRX3355835	2017	901	SRR6248855	SRS2654941	GSM2837867	c-Maf flfl	CD4+ T cells (Th1 malaria model)	day 7 post Plasmodim chabaudi chabaudi AS infection	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967665	SRX3355836	2196	980	SRR6248856	SRS2654942	GSM2837868	c-Maf flfl CD4Cre	CD4+ T cells (Th1 malaria model)	day 7 post Plasmodim chabaudi chabaudi AS infection	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967666	SRX3355837	2036	909	SRR6248857	SRS2654943	GSM2837869	c-Maf flfl CD4Cre	CD4+ T cells (Th1 malaria model)	day 7 post Plasmodim chabaudi chabaudi AS infection	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967667	SRX3355838	2895	1298	SRR6248858	SRS2654944	GSM2837870	c-Maf flfl CD4Cre	CD4+ T cells (Th1 malaria model)	day 7 post Plasmodim chabaudi chabaudi AS infection	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967661	SRX3355839	2295	1027	SRR6248859	SRS2654945	GSM2837871	c-Maf flfl	CD4+ T cells (untreated)	untreated	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967663	SRX3355841	2859	1279	SRR6248861	SRS2654946	GSM2837873	c-Maf flfl	CD4+ T cells (untreated)	untreated	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
100	SAMN07967662	SRX3355840	1518	682	SRR6248860	SRS2654947	GSM2837872	c-Maf flfl	CD4+ T cells (untreated)	untreated	Spleen	RNA-Seq	PRJNA416934	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123516	C57BL/6	CD4+ T cell
