AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	cell_type	genotype	source_name	time_point	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	background_strain	tissue
80	SAMN07967534	SRX3353612	2311	935	SRR6246604	SRS2652799	GSM2837887	CD4+ T cell	wildtype	Naive,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967532	SRX3353614	1112	464	SRR6246607	SRS2652801	GSM2837889	CD4+ T cell	wildtype	Naive,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967531	SRX3353615	1489	628	SRR6246608	SRS2652802	GSM2837890	CD4+ T cell	wildtype	Naive,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967530	SRX3353616	656	273	SRR6246609	SRS2652803	GSM2837891	CD4+ T cell	wildtype	Naive,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967529	SRX3353617	1288	880	SRR6246610	SRS2652804	GSM2837892	CD4+ T cell	wildtype	Naive,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967529	SRX3353617	1505	982	SRR6246611	SRS2652804	GSM2837892	CD4+ T cell	wildtype	Naive,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967528	SRX3353618	1580	657	SRR6246612	SRS2652805	GSM2837893	CD4+ T cell	wildtype	Naive,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967527	SRX3353619	2068	871	SRR6246613	SRS2652806	GSM2837894	CD4+ T cell	wildtype	Naive,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967544	SRX3353602	1811	769	SRR6246593	SRS2652809	GSM2837877	CD4+ T cell (Treg)	Foxp3RFP IL-10GFP dual reporter mice	Foxp3IL10pos,0hr,ex vivo	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967533	SRX3353613	1383	948	SRR6246605	SRS2652800	GSM2837888	CD4+ T cell	wildtype	Naive,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967533	SRX3353613	1575	1031	SRR6246606	SRS2652800	GSM2837888	CD4+ T cell	wildtype	Naive,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967526	SRX3353620	2360	982	SRR6246614	SRS2652807	GSM2837895	CD4+ T cell	wildtype	Naive,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967525	SRX3353621	1624	677	SRR6246615	SRS2652808	GSM2837896	CD4+ T cell	wildtype	TH0,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967524	SRX3353622	1558	651	SRR6246616	SRS2652810	GSM2837897	CD4+ T cell	wildtype	TH0,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967523	SRX3353623	1680	705	SRR6246617	SRS2652811	GSM2837898	CD4+ T cell	wildtype	TH0,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967522	SRX3353624	1957	817	SRR6246618	SRS2652812	GSM2837899	CD4+ T cell	wildtype	TH0,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967521	SRX3353625	1768	735	SRR6246619	SRS2652813	GSM2837900	CD4+ T cell	wildtype	TH0,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967520	SRX3353626	1646	685	SRR6246620	SRS2652814	GSM2837901	CD4+ T cell	wildtype	TH0,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967519	SRX3353627	1436	602	SRR6246621	SRS2652815	GSM2837902	CD4+ T cell	wildtype	TH0,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967518	SRX3353628	1363	569	SRR6246622	SRS2652816	GSM2837903	CD4+ T cell	wildtype	TH0,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967517	SRX3353629	1352	564	SRR6246623	SRS2652817	GSM2837904	CD4+ T cell	wildtype	TH0,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967516	SRX3353630	1395	597	SRR6246624	SRS2652818	GSM2837905	CD4+ T cell	wildtype	TH0,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967515	SRX3353631	1463	627	SRR6246625	SRS2652819	GSM2837906	CD4+ T cell	wildtype	TH0,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967514	SRX3353632	1180	509	SRR6246626	SRS2652820	GSM2837907	CD4+ T cell	wildtype	TH0,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967513	SRX3353633	1480	625	SRR6246627	SRS2652821	GSM2837908	CD4+ T cell	wildtype	TH0,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967512	SRX3353634	1786	756	SRR6246628	SRS2652822	GSM2837909	CD4+ T cell	wildtype	TH0,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967511	SRX3353635	1547	653	SRR6246629	SRS2652823	GSM2837910	CD4+ T cell	wildtype	TH0,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967510	SRX3353636	1603	668	SRR6246630	SRS2652824	GSM2837911	CD4+ T cell	wildtype	TH0,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967509	SRX3353637	2090	871	SRR6246631	SRS2652825	GSM2837912	CD4+ T cell	wildtype	TH0,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967508	SRX3353638	1831	731	SRR6246632	SRS2652826	GSM2837913	CD4+ T cell	wildtype	TH0,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967507	SRX3353639	1474	626	SRR6246633	SRS2652827	GSM2837914	CD4+ T cell	wildtype	TH0,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967506	SRX3353640	1971	848	SRR6246634	SRS2652828	GSM2837915	CD4+ T cell	wildtype	TH0,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967505	SRX3353641	1931	827	SRR6246635	SRS2652830	GSM2837916	CD4+ T cell	wildtype	TH0,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967504	SRX3353642	1262	513	SRR6246636	SRS2652831	GSM2837917	CD4+ T cell	wildtype	TH0,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967503	SRX3353643	660	273	SRR6246637	SRS2652829	GSM2837918	CD4+ T cell	wildtype	TH0,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
80	SAMN07967502	SRX3353644	1272	515	SRR6246638	SRS2652832	GSM2837919	CD4+ T cell	wildtype	TH0,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967501	SRX3353645	1446	983	SRR6246639	SRS2652833	GSM2837920	CD4+ T cell	wildtype	TH0block,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967501	SRX3353645	1893	1239	SRR6246640	SRS2652833	GSM2837920	CD4+ T cell	wildtype	TH0block,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967633	SRX3353646	1152	783	SRR6246641	SRS2652834	GSM2837921	CD4+ T cell	wildtype	TH0block,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967633	SRX3353646	1499	982	SRR6246642	SRS2652834	GSM2837921	CD4+ T cell	wildtype	TH0block,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967632	SRX3353647	1125	764	SRR6246643	SRS2652909	GSM2837922	CD4+ T cell	wildtype	TH0block,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967632	SRX3353647	1304	854	SRR6246644	SRS2652909	GSM2837922	CD4+ T cell	wildtype	TH0block,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967631	SRX3353648	1103	747	SRR6246645	SRS2652835	GSM2837923	CD4+ T cell	wildtype	TH0block,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967631	SRX3353648	1324	864	SRR6246647	SRS2652835	GSM2837923	CD4+ T cell	wildtype	TH0block,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967630	SRX3353649	1299	883	SRR6246648	SRS2652836	GSM2837924	CD4+ T cell	wildtype	TH0block,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967630	SRX3353649	1403	919	SRR6246649	SRS2652836	GSM2837924	CD4+ T cell	wildtype	TH0block,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967629	SRX3353650	1103	750	SRR6246650	SRS2652837	GSM2837925	CD4+ T cell	wildtype	TH0block,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967629	SRX3353650	1248	818	SRR6246651	SRS2652837	GSM2837925	CD4+ T cell	wildtype	TH0block,2hr,in vitro	2hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967628	SRX3353651	1063	722	SRR6246652	SRS2652838	GSM2837926	CD4+ T cell	wildtype	TH0block,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967628	SRX3353651	1318	861	SRR6246653	SRS2652838	GSM2837926	CD4+ T cell	wildtype	TH0block,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967627	SRX3353652	1101	750	SRR6246654	SRS2652839	GSM2837927	CD4+ T cell	wildtype	TH0block,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967627	SRX3353652	1318	864	SRR6246655	SRS2652839	GSM2837927	CD4+ T cell	wildtype	TH0block,6hr,in vitro	6hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967626	SRX3353653	1812	1254	SRR6246656	SRS2652840	GSM2837928	CD4+ T cell	wildtype	TH1,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967625	SRX3353654	1321	890	SRR6246657	SRS2652841	GSM2837929	CD4+ T cell	wildtype	TH1,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967625	SRX3353654	1220	794	SRR6246658	SRS2652841	GSM2837929	CD4+ T cell	wildtype	TH1,0.5hr,in vitro	0.5hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967624	SRX3353655	1657	1137	SRR6246659	SRS2652842	GSM2837930	CD4+ T cell	wildtype	TH1,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
75	SAMN07967623	SRX3353656	1458	988	SRR6246660	SRS2652843	GSM2837931	CD4+ T cell	wildtype	TH1,0hr,in vitro	0hr	RNA-Seq	PRJNA416975	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-11-02	Mus musculus	ILLUMINA	2018-02-08	SRP123627	C57BL/6	spleen
