"X","Condition1","Condition2"
"X-squared","10.76097031726",""
"p-value","0.00103663020771093",""
"","",""
"KLF6_ZF","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","528","655"
"Motif not found","1977","1984"
"X-squared","9.95236071479292",""
"p-value","0.00160643265803879",""
"","",""
"GATA3_ZF","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","835","789"
"Motif not found","1670","1677"
"X-squared","0.951761012814329",""
"p-value","0.329271451393154",""
"","",""
"AP1_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","733","546"
"Motif not found","1772","1779"
"X-squared","20.3796246295847",""
"p-value","6.35023375178003e-06",""
"","",""
"BATF_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","712","477"
"Motif not found","1793","1800"
"X-squared","35.2715805105802",""
"p-value","2.86786553429382e-09",""
"","",""
"ATF3_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","709","478"
"Motif not found","1796","1803"
"X-squared","34.1670687166263",""
"p-value","5.05776556832626e-09",""
"","",""
"JUNB_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","637","420"
"Motif not found","1868","1875"
"X-squared","35.0291849242582",""
"p-value","3.24800473458832e-09",""
"","",""
"ASCL2+M5987","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","239","190"
"Motif not found","2266","2273"
"X-squared","5.02384723322622",""
"p-value","0.0250005623740404",""
"","",""
"LEF1_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","885","376"
"Motif not found","1620","1627"
"X-squared","150.62771711011",""
"p-value","1.26403051618533e-34",""
"","",""
"TCF3_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","520","167"
"Motif not found","1985","1992"
"X-squared","155.552197304378",""
"p-value","1.06053028451902e-35",""
"","",""
"TCF4_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","761","276"
"Motif not found","1744","1751"
"X-squared","177.466578442238",""
"p-value","1.73216901487899e-40",""
"","",""
"TCF7_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","648","233"
"Motif not found","1857","1864"
"X-squared","159.639460603668",""
"p-value","1.35650809697247e-36",""
"","",""
"TCF7L2+M1585","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1189","550"
"Motif not found","1316","1323"
"X-squared","145.887329466119",""
"p-value","1.37395542228824e-33",""
