"X","Condition1","Condition2"
"Motif not found","3215","1049"
"X-squared","78.7138530063326",""
"p-value","7.1790377309886e-19",""
"","",""
"AP1_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1344","546"
"Motif not found","3334","1168"
"X-squared","5.73341742565217",""
"p-value","0.0166450604288222",""
"","",""
"BATF_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1285","477"
"Motif not found","3393","1227"
"X-squared","0.146349411972714",""
"p-value","0.702048690677849",""
"","",""
"ATF3_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1280","478"
"Motif not found","3398","1232"
"X-squared","0.190716784331097",""
"p-value","0.662320712591539",""
"","",""
"JUNB_BZIP","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1142","420"
"Motif not found","3536","1370"
"X-squared","0.585057477184907",""
"p-value","0.444336751271971",""
"","",""
"ASCL2+M5987","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","527","190"
"Motif not found","4151","1985"
"X-squared","9.87530810463347",""
"p-value","0.00167511544320094",""
"","",""
"LEF1_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1831","376"
"Motif not found","2847","681"
"X-squared","4.48770335028178",""
"p-value","0.0341395124695271",""
"","",""
"TCF3_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1052","167"
"Motif not found","3626","1460"
"X-squared","114.875652890441",""
"p-value","8.37902278838685e-27",""
"","",""
"TCF4_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1526","276"
"Motif not found","3152","986"
"X-squared","53.8471352645705",""
"p-value","2.16710841289878e-13",""
"","",""
"TCF7_HMG","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","1236","233"
"Motif not found","3442","1276"
"X-squared","75.3787782021169",""
"p-value","3.88543765918329e-18",""
"","",""
"TCF7L2+M1585","",""
"","WT_Tfh_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","2387","550"
"Motif not found","2291","125"
"X-squared","219.719312962799",""
"p-value","1.04137887793798e-49",""
