"X","Condition1","Condition2"
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","167","419"
"Motif not found","490","2006"
"X-squared","21.7198751131007",""
"p-value","3.15505495593798e-06",""
"","",""
"KLF5_ZF","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","196","541"
"Motif not found","461","1977"
"X-squared","19.902563541517",""
"p-value","8.14909793961148e-06",""
"","",""
"LEF1_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","51","718"
"Motif not found","606","2122"
"X-squared","94.4442106317077",""
"p-value","2.52098353578283e-22",""
"","",""
"TCF3_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","18","404"
"Motif not found","639","2155"
"X-squared","76.9289438483957",""
"p-value","1.77220741090306e-18",""
"","",""
"TCF4_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","38","580"
"Motif not found","619","2135"
"X-squared","84.7344234905148",""
"p-value","3.41257003228606e-20",""
"","",""
"TCF7_HMG","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","18","445"
"Motif not found","639","2155"
"X-squared","87.705176075935",""
"p-value","7.59753112796661e-21",""
"","",""
"KLF6_ZF","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","150","438"
"Motif not found","507","2023"
"X-squared","8.25998264373405",""
"p-value","0.00405285154323021",""
"","",""
"GATA3_ZF","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","165","609"
"Motif not found","492","2008"
"X-squared","0.888918773011858",""
"p-value","0.345770478404363",""
"","",""
"AP1_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","161","738"
"Motif not found","496","2012"
"X-squared","1.36589803902245",""
"p-value","0.24251790953152",""
"","",""
"ATF3_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","149","707"
"Motif not found","508","2024"
"X-squared","2.72097730070841",""
"p-value","0.0990373601957962",""
"","",""
"BATF_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","145","710"
"Motif not found","512","2028"
"X-squared","3.99043255119849",""
"p-value","0.0457593156720482",""
"","",""
"JUNB_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","124","642"
"Motif not found","533","2049"
"X-squared","7.15337011637547",""
"p-value","0.00748232582818081",""
"","",""
"FRA1_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","129","644"
"Motif not found","528","2044"
"X-squared","5.31374066999684",""
"p-value","0.0211578807907535",""
"","",""
"FRA2_BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","113","579"
"Motif not found","544","2060"
"X-squared","6.84454986262736",""
"p-value","0.00889120996218853",""
"","",""
"NFAT:AP1_RHD,BZIP","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","80","311"
"Motif not found","577","2093"
"X-squared","0.203754830062151",""
"p-value","0.651706974379616",""
"","",""
"ASCL2+M5987","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","74","238"
"Motif not found","583","2099"
"X-squared","0.529576845258258",""
"p-value","0.466784816847626",""
"","",""
"TCF7L2+M1585","",""
"","DKO_Th1_vs_WT_Th1","DKO_Tfh_vs_Prdm1KO_Tfh"
"Motif found","94","941"
"Motif not found","563","2079"
"X-squared","74.9341490298607",""
"p-value","4.86678867729515e-18",""
